year,mashhad_temp,global_temp
1832,9.86,7.45
1833,10.48,8.01
1834,12.02,8.15
1835,13.11,7.39
1836,,7.70
1837,12.69,7.38
1838,11.45,7.51
1839,11.67,7.63
1840,11.83,7.80
1841,11.54,7.69
1842,12.32,8.02
1843,12.39,8.17
1844,11.76,7.65
1845,11.89,7.85
1846,12.54,8.55
1847,12.10,8.09
1848,11.71,7.98
1849,12.15,7.98
1850,11.83,7.90
1851,12.35,8.18
1852,12.19,8.10
1853,12.10,8.04
1854,12.09,8.21
1855,12.61,8.11
1856,12.09,8.00
1857,11.61,7.76
1858,12.25,8.10
1859,12.54,8.25
1860,12.01,7.96
1861,11.65,7.85
1862,11.35,7.56
1863,12.07,8.11
1864,11.74,7.98
1865,12.05,8.18
1866,11.89,8.29
1867,12.46,8.44
1868,12.25,8.25
1869,12.39,8.43
1870,12.46,8.20
1871,12.13,8.12
1872,12.62,8.19
1873,12.66,8.35
1874,12.45,8.43
1875,12.71,7.86
1876,12.20,8.08
1877,12.43,8.54
1878,12.66,8.83
1879,12.75,8.17
1880,12.30,8.12
1881,12.81,8.27
1882,12.02,8.13
1883,12.31,7.98
1884,11.91,7.77
1885,11.76,7.92
1886,11.48,7.95
1887,12.23,7.91
1888,13.12,8.09
1889,11.98,8.32
1890,12.32,7.97
1891,11.68,8.02
1892,12.41,8.07
1893,12.34,8.06
1894,11.90,8.16
1895,12.51,8.15
1896,12.17,8.21
1897,11.96,8.29
1898,11.67,8.18
1899,13.15,8.40
1900,11.85,8.50
1901,12.66,8.54
1902,12.88,8.30
1903,11.71,8.22
1904,12.14,8.09
1905,12.14,8.23
1906,12.59,8.38
1907,11.74,7.95
1908,12.10,8.19
1909,12.60,8.18
1910,11.65,8.22
1911,11.49,8.18
1912,12.51,8.17
1913,12.56,8.30
1914,13.10,8.59
1915,13.79,8.59
1916,11.88,8.23
1917,13.06,8.02
1918,11.97,8.13
1919,12.63,8.38
1920,11.27,8.36
1921,12.54,8.57
1922,13.13,8.41
1923,11.99,8.42
1924,12.10,8.51
1925,13.09,8.53
1926,12.60,8.73
1927,12.77,8.52
1928,11.93,8.63
1929,11.36,8.24
1930,11.24,8.63
1931,11.60,8.72
1932,11.62,8.71
1933,12.31,8.34
1934,11.45,8.63
1935,12.34,8.52
1936,12.58,8.55
1937,12.08,8.70
1938,12.99,8.86
1939,12.83,8.76
1940,13.56,8.76
1941,14.02,8.77
1942,13.03,8.73
1943,11.86,8.76
1944,13.29,8.85
1945,12.25,8.58
1946,12.68,8.68
1947,13.58,8.80
1948,12.87,8.75
1949,11.40,8.59
1950,11.40,8.37
1951,12.39,8.63
1952,12.45,8.64
1953,12.80,8.87
1954,12.06,8.56
1955,13.73,8.63
1956,12.45,8.28
1957,11.61,8.73
1958,13.21,8.77
1959,12.12,8.73
1960,12.68,8.58
1961,13.03,8.80
1962,12.60,8.75
1963,13.74,8.86
1964,11.59,8.41
1965,13.14,8.53
1966,13.61,8.60
1967,12.32,8.70
1968,12.69,8.52
1969,11.61,8.60
1970,13.26,8.70
1971,13.46,8.60
1972,10.69,8.50
1973,13.03,8.95
1974,11.48,8.47
1975,12.64,8.74
1976,12.20,8.35
1977,13.31,8.85
1978,12.91,8.69
1979,13.25,8.73
1980,13.41,8.98
1981,13.78,9.17
1982,12.09,8.64
1983,13.69,9.03
1984,12.52,8.69
1985,13.31,8.66
1986,12.76,8.83
1987,13.71,8.99
1988,13.90,9.20
1989,13.22,8.92
1990,13.66,9.23
1991,13.09,9.18
1992,12.40,8.84
1993,12.67,8.87
1994,13.40,9.04
1995,14.01,9.35
1996,13.34,9.04
1997,13.90,9.20
1998,14.11,9.52
1999,14.01,9.29
2000,14.15,9.20
2001,14.64,9.41
2002,14.26,9.57
2003,13.54,9.53
2004,14.30,9.32
2005,14.05,9.70
2006,14.61,9.53
2007,13.74,9.73
2008,13.72,9.43
2009,14.12,9.51
2010,15.21,9.70
2011,13.93,9.52
2012,13.57,9.51
2013,15.94,9.61
