year,shiraz_temp,global_temp
1842,17.19,8.02
1843,18.86,8.17
1844,19.29,7.65
1845,18.67,7.85
1846,20.07,8.55
1847,18.67,8.09
1848,18.64,7.98
1849,18.92,7.98
1850,18.52,7.90
1851,19.21,8.18
1852,18.98,8.10
1853,19.03,8.04
1854,18.72,8.21
1855,19.11,8.11
1856,18.67,8.00
1857,18.34,7.76
1858,19.15,8.10
1859,19.19,8.25
1860,19.08,7.96
1861,18.23,7.85
1862,17.97,7.56
1863,18.42,8.11
1864,18.87,7.98
1865,19.12,8.18
1866,18.76,8.29
1867,19.14,8.44
1868,19.08,8.25
1869,19.35,8.43
1870,19.21,8.20
1871,18.99,8.12
1872,19.13,8.19
1873,19.38,8.35
1874,19.12,8.43
1875,19.03,7.86
1876,19.05,8.08
1877,19.51,8.54
1878,19.42,8.83
1879,19.41,8.17
1880,18.77,8.12
1881,19.66,8.27
1882,18.72,8.13
1883,19.40,7.98
1884,18.93,7.77
1885,18.89,7.92
1886,19.08,7.95
1887,19.02,7.91
1888,19.41,8.09
1889,19.48,8.32
1890,19.03,7.97
1891,19.27,8.02
1892,19.51,8.07
1893,19.28,8.06
1894,18.79,8.16
1895,19.02,8.15
1896,18.89,8.21
1897,18.88,8.29
1898,18.59,8.18
1899,19.44,8.40
1900,19.16,8.50
1901,19.82,8.54
1902,19.73,8.30
1903,18.54,8.22
1904,19.17,8.09
1905,18.80,8.23
1906,18.82,8.38
1907,18.58,7.95
1908,19.23,8.19
1909,19.61,8.18
1910,18.62,8.22
1911,17.85,8.18
1912,19.18,8.17
1913,18.98,8.30
1914,19.36,8.59
1915,19.66,8.59
1916,18.70,8.23
1917,19.26,8.02
1918,18.74,8.13
1919,19.52,8.38
1920,18.67,8.36
1921,19.04,8.57
1922,19.58,8.41
1923,18.91,8.42
1924,19.69,8.51
1925,19.15,8.53
1926,19.27,8.73
1927,19.31,8.52
1928,19.23,8.63
1929,19.22,8.24
1930,19.25,8.63
1931,19.14,8.72
1932,18.81,8.71
1933,18.83,8.34
1934,18.75,8.63
1935,19.54,8.52
1936,19.04,8.55
1937,19.25,8.70
1938,19.30,8.86
1939,19.18,8.76
1940,19.83,8.76
1941,19.83,8.77
1942,19.85,8.73
1943,19.02,8.76
1944,19.61,8.85
1945,19.17,8.58
1946,19.51,8.68
1947,20.25,8.80
1948,18.99,8.75
1949,18.80,8.59
1950,18.83,8.37
1951,19.47,8.63
1952,19.41,8.64
1953,19.40,8.87
1954,19.67,8.56
1955,19.82,8.63
1956,19.21,8.28
1957,18.69,8.73
1958,19.83,8.77
1959,19.24,8.73
1960,19.77,8.58
1961,19.22,8.80
1962,19.77,8.75
1963,19.70,8.86
1964,18.69,8.41
1965,19.40,8.53
1966,20.06,8.60
1967,18.77,8.70
1968,19.09,8.52
1969,19.64,8.60
1970,19.90,8.70
1971,19.27,8.60
1972,18.36,8.50
1973,19.65,8.95
1974,19.06,8.47
1975,19.16,8.74
1976,19.19,8.35
1977,20.21,8.85
1978,19.94,8.69
1979,20.12,8.73
1980,20.12,8.98
1981,20.17,9.17
1982,19.31,8.64
1983,19.52,9.03
1984,19.62,8.69
1985,19.79,8.66
1986,19.55,8.83
1987,20.21,8.99
1988,20.23,9.20
1989,19.52,8.92
1990,20.18,9.23
1991,19.89,9.18
1992,18.51,8.84
1993,19.75,8.87
1994,20.11,9.04
1995,19.81,9.35
1996,20.21,9.04
1997,19.74,9.20
1998,20.92,9.52
1999,21.04,9.29
2000,20.58,9.20
2001,21.10,9.41
2002,20.77,9.57
2003,21.01,9.53
2004,20.64,9.32
2005,20.34,9.70
2006,20.66,9.53
2007,20.55,9.73
2008,20.72,9.43
2009,20.85,9.51
2010,21.78,9.70
2011,20.75,9.52
2012,20.87,9.51
2013,22.04,9.61
